run_id;timestamp;target_season;confidence_threshold;min_edge;max_bet_rate;use_kelly;kelly_fraction;reward_shaping;final_roi;final_winrate;total_bets;total_wins;total_profit;final_balance;sharpe_ratio;max_drawdown;gamedays_played
run_20251110_152117;20251110_161715;2024;0.8;0.02;0.6;True;;conservative;-0.2262135922330097;0.3689320388349515;103.0;38.0;-233.0;0.0;-0.5131471505693763;238.9;22.0
run_20251110_122430;;2024;0.6;;;;;roi;;;;;;;;;
run_20251114_150115;20251114_154034;2024;0.6;0.02;0.4;True;0.25;conservative;0.0747590361445783;0.4216867469879518;166.0;70.0;124.1;0.0;0.12149435364355679;155.50000000000003;26.0
run_20251114_173707;;2024;0.6;0.05;0.3;True;0.25;conservative;;;;;;;;;
run_20251110_125507;20251110_131421;2024;0.6;;;;;roi;-0.1349760765550239;0.4545454545454545;209.0;95.0;-282.1;0.0;-0.3585537836502463;335.6;25.0
run_20251111_065542;20251111_073011;2024;0.7;0.02;0.5;True;;conservative;-0.1935031847133759;0.3375796178343949;157.0;53.0;-303.8000000000001;0.0;-0.3183900384220861;291.3000000000001;22.0
run_20251110_124123;;2024;0.6;;;;;roi;;;;;;;;;
run_20251110_133916;;2024;0.7;0.05;0.3;True;;conservative;;;;;;;;;
run_20251115_154237;20251115_164715;2025;0.6;0.05;0.3;True;0.25;conservative;0.1727435229410913;0.6923076923076923;13.0;9.0;23.8697;0.0;83.54812740636714;0.0;2.0
run_20251110_134354;;2024;0.7;0.05;0.3;True;;conservative;;;;;;;;;
run_20251110_123541;;2024;0.6;;;;;roi;;;;;;;;;
run_20251114_145922;;2024;0.6;0.02;0.4;True;0.25;conservative;;;;;;;;;
run_20251110_142609;;2024;0.8;0.02;0.6;True;;conservative;;;;;;;;;
run_20251110_134627;;2024;0.7;0.05;0.3;True;;conservative;;;;;;;;;
run_20251110_123653;;2024;0.6;;;;;roi;;;;;;;;;
run_20251114_164724;20251114_172509;2024;0.6;0.02;0.4;True;0.25;conservative;-0.1174946781912994;0.5645161290322581;62.0;35.0;-82.24039999999998;0.0;-0.24051276605190283;88.47330000000002;26.0
run_20251110_135340;20251110_141241;2024;0.7;0.05;0.3;True;;conservative;-0.243421052631579;0.4473684210526316;76.0;34.0;-185.0;0.0;-0.42619035674715283;211.1;25.0
run_20251115_174959;;2024;0.6;0.05;0.5;True;0.5;conservative;;;;;;;;;
run_20251110_150007;20251110_151926;2024;0.6;0.02;0.6;True;;conservative;-0.0300662251655629;0.4768211920529801;151.0;72.0;-45.39999999999998;0.0;-0.0593170775246887;167.2;25.0
